name,city,state,type,rank,fees,rating,reviews,about,courses,placements,facilities,imageUrl,acceptanceRate,worldRank,countryRank,stateRank,naac_grade
College 1,Ahmedabad,Rajasthan,State University,16,202436,4.9,553,College 1 is a prestigious institution located in Ahmedabad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,BDS|MBA Operations|B.Tech ECE|B.Arch|MBA IT|B.Tech AI,Average package: ₹13 LPA; Highest package: ₹28 LPA,Hostel|Transport|ATM,https://example.com/college1.jpg,0.3051915398292665,3590,16,1,A+
College 2,Patna,Tamil Nadu,Government,106,235707,4.4,1668,College 2 is a prestigious institution located in Patna; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,MBA Marketing|B.Tech CE|B.Arch,Average package: ₹17 LPA; Highest package: ₹41 LPA,WiFi|Library|Medical Center,https://example.com/college2.jpg,0.3538899298838948,1899,106,15,A+
College 3,Pune,Tamil Nadu,Institute of National Importance,198,158257,3.6,1619,College 3 is a prestigious institution located in Pune; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,BBA,Average package: ₹10 LPA; Highest package: ₹34 LPA,Research Labs|WiFi|ATM,https://example.com/college3.jpg,0.4519659994788947,4996,198,15,A+
College 4,Srinagar,Madhya Pradesh,Autonomous,154,348541,4.3,536,College 4 is a prestigious institution located in Srinagar; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech IT|MBA Finance|BA,Average package: ₹15 LPA; Highest package: ₹20 LPA,Auditorium|WiFi|Computer Center|Parking|Library|Innovation Center,https://example.com/college4.jpg,0.11600284946975999,4719,154,16,B+
College 5,Kolkata,Rajasthan,Autonomous,37,428777,4.1,476,College 5 is a prestigious institution located in Kolkata; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,MBA HR|BCA|B.Pharma|B.Des|B.Tech ECE|MBA Marketing|B.Tech AI|BA,Average package: ₹8 LPA; Highest package: ₹21 LPA,Parking|Library|Research Labs,https://example.com/college5.jpg,0.3022506283398597,4015,37,11,A
College 6,Mumbai,Assam,Institute of National Importance,10,309925,4.9,506,College 6 is a prestigious institution located in Mumbai; Assam. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech ME|B.Tech CE|B.Tech IT|B.Arch|B.Des|BBA,Average package: ₹6 LPA; Highest package: ₹11 LPA,WiFi|Auditorium|Labs|Innovation Center|Research Labs|Computer Center|Library|Hostel,https://example.com/college6.jpg,0.182404730128241,5753,10,12,B+
College 7,Faridabad,Rajasthan,Private,16,328608,4.5,1303,College 7 is a prestigious institution located in Faridabad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech IT|MBA Finance|BA,Average package: ₹14 LPA; Highest package: ₹35 LPA,Cafeteria|Innovation Center|WiFi|Library|Bank|Transport|Canteen,https://example.com/college7.jpg,0.1898397685919862,2658,16,5,A+
College 8,Ludhiana,Madhya Pradesh,Institute of National Importance,48,161093,3.9,1556,College 8 is a prestigious institution located in Ludhiana; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,B.Des|B.Tech ECE|BCA|BDS|B.Tech IT|B.Tech CSE,Average package: ₹8 LPA; Highest package: ₹13 LPA,Labs|Conference Hall|Computer Center|WiFi|Medical Center|Transport|Bank,https://example.com/college8.jpg,0.3136300647487148,4057,48,8,A++
College 9,Varanasi,Kerala,Autonomous,156,485029,4.0,1278,College 9 is a prestigious institution located in Varanasi; Kerala. Known for its excellent academic programs and state-of-the-art facilities.,MBA IT|MBA Finance|BDS|B.Tech AI|B.Arch|BA|B.Tech ME|MBA Operations,Average package: ₹14 LPA; Highest package: ₹35 LPA,Labs|Sports Complex|Cafeteria|Conference Hall|Canteen|Research Labs,https://example.com/college9.jpg,0.2894767279598445,3950,156,12,A+
College 10,Faridabad,Rajasthan,Deemed University,174,262269,3.6,409,College 10 is a prestigious institution located in Faridabad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Com|B.Tech AI,Average package: ₹8 LPA; Highest package: ₹20 LPA,Innovation Center|Canteen|Library|ATM|Gym,https://example.com/college10.jpg,0.3007032756575404,5270,174,7,A+
College 11,Indore,Tamil Nadu,Private University,106,518021,3.1,1500,College 11 is a prestigious institution located in Indore; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,BA|MBA Marketing|BDS|BBA|MBA IT|B.Tech ECE|B.Tech ME|MBA Operations,Average package: ₹8 LPA; Highest package: ₹28 LPA,Research Labs|Medical Center|Innovation Center|Hostel|Sports Complex,https://example.com/college11.jpg,0.2897563767969066,2336,106,12,B+
College 12,Pimpri-Chinchwad,Rajasthan,Institute of National Importance,200,243364,4.7,945,College 12 is a prestigious institution located in Pimpri-Chinchwad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Arch|B.Des,Average package: ₹11 LPA; Highest package: ₹30 LPA,Conference Hall|Library|Research Labs|Computer Center,https://example.com/college12.jpg,0.30670863097854706,2286,200,17,A++
College 13,Ahmedabad,West Bengal,Central University,117,189597,3.4,371,College 13 is a prestigious institution located in Ahmedabad; West Bengal. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech CE|B.Tech IT|B.Tech ECE|B.Tech AI,Average package: ₹6 LPA; Highest package: ₹23 LPA,Library|Research Labs|Conference Hall,https://example.com/college13.jpg,0.17723415716270696,1941,117,9,A
